Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2018,2018-09-09,1,1,21.212,NYG,,JAX,L 15-20,*,18,106,5.89,1,6,2,22,11.00,0,33.3%,3.67,,1,6,0,0,0,0,0,0,55,77%,0,0%,0,0%
2,2018,2018-09-16,2,2,21.219,NYG,@,DAL,L 13-20,*,11,28,2.55,0,16,14,80,5.71,0,87.5%,5.00,,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%
3,2018,2018-09-23,3,3,21.226,NYG,@,HOU,W 27-22,*,17,82,4.82,1,5,5,35,7.00,0,100.0%,7.00,,1,6,0,0,0,0,0,0,44,71%,0,0%,0,0%
4,2018,2018-09-30,4,4,21.233,NYG,,NOR,L 18-33,*,10,44,4.40,1,8,6,56,9.33,0,75.0%,7.00,,1,6,0,0,0,0,0,0,54,87%,0,0%,0,0%
5,2018,2018-10-07,5,5,21.240,NYG,@,CAR,L 31-33,*,15,48,3.20,0,4,4,81,20.25,2,100.0%,20.25,,2,12,0,0,0,0,0,0,48,86%,0,0%,0,0%
6,2018,2018-10-11,6,6,21.244,NYG,,PHI,L 13-34,*,13,130,10.00,1,12,9,99,11.00,0,75.0%,8.25,,1,6,0,0,0,0,0,0,50,77%,0,0%,0,0%
7,2018,2018-10-22,7,7,21.255,NYG,@,ATL,L 20-23,*,14,43,3.07,1,10,9,51,5.67,0,90.0%,5.10,1,1,8,0,0,0,0,0,0,59,92%,0,0%,0,0%
8,2018,2018-10-28,8,8,21.261,NYG,,WAS,L 13-20,*,13,38,2.92,0,10,9,73,8.11,0,90.0%,7.30,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%
9,2018,2018-11-12,9,10,21.276,NYG,@,SFO,W 27-23,*,20,67,3.35,0,5,4,33,8.25,0,80.0%,6.60,,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%
10,2018,2018-11-18,10,11,21.282,NYG,,TAM,W 38-35,*,27,142,5.26,2,3,2,10,5.00,1,66.7%,3.33,,3,18,0,0,0,0,0,0,47,89%,0,0%,1,3%
