WidthMat	LengthMat
0.25	1.37
0.39	1.2
0.42	1.17
0.43	1.23
0.43	1.21
0.43	1.17
0.43	1.37
0.44	1.15
0.44	1.41
0.45	1.32
0.45	1.22
0.45	1.31
0.45	1.14
0.46	1.23
0.46	1.3
0.46	1.25
0.46	1.25
0.47	1.27
0.48	1.42
0.48	1.29
0.48	1.43
0.48	1.26
0.48	1.21
0.48	1.25
0.49	1.47
0.49	1.2
0.49	1.47
0.49	1.36
0.5	1.31
0.5	1.25
0.5	1.41
0.5	1.29
0.5	1.35
0.5	1.37
0.5	1.33
0.5	1.46
0.5	1.32
0.5	1.35
0.5	1.42
0.51	1.42
0.51	1.3
0.51	1.34
0.51	1.33
0.51	1.43
0.52	1.43
0.52	1.53
0.52	1.31
0.52	1.55
0.53	1.49
0.53	1.42
0.54	1.42
0.55	1.48
0.55	1.49
0.55	1.46
0.55	1.49
0.55	1.44
0.56	1.57
0.56	1.48
0.56	1.36
0.57	1.54
0.57	1.55
0.57	1.64
0.58	1.48
0.59	1.43
0.6	1.51
0.6	1.58
