time_min	Po2_mmHg
0	148.3695158
2	148.520605
4	145.9520899
6	142.6281293
8	139.757436
10	137.3400101
12	135.3758515
14	134.0160494
16	132.9584256
18	131.5986235
20	131.1453562
22	130.5409997
24	129.7855541
26	129.3322867
28	129.1811976
30	128.7279302
32	128.425752
34	128.2746629
36	128.1235738
38	127.9724846
40	127.9724846
42	127.6703064
44	127.5192173
46	127.217039
48	127.217039
50	127.0659499
52	126.9148608
54	126.7637717
56	126.7637717
58	126.7637717
60	126.3105043
62	126.3105043
64	126.0083261
66	125.857237
68	125.7061478
70	125.4039696
72	125.4039696
74	125.2528805
76	125.1017914
78	124.9507022
80	124.648524
82	124.648524
84	124.4974349
86	124.1952566
88	123.8930784
90	123.8930784
92	123.5909002
94	123.5909002
96	123.439811
98	123.2887219
100	122.9865437
102	122.3821872
104	122.3821872
106	122.2310981
108	121.9289198
110	121.6267416
112	121.4756525
114	121.3245634
116	121.0223851
118	121.0223851
120	120.7202069
122	120.4180286
124	120.5691178
126	120.2669395
128	120.2669395
130	119.9647613
132	118.7560483
134	118.7560483
136	118.4538701
138	118.1516918
140	118.1516918
142	117.8495136
144	117.5473354
146	117.3962462
148	117.094068
150	116.7918898
152	116.6408006
154	116.4897115
156	116.1875333
158	116.0364442
160	115.7342659
162	115.5831768
164	115.2809986
166	113.1657509
168	111.9570379
170	110.5972358
172	109.6907011
174	108.7841664
176	108.330899
178	107.8776317
180	107.4243643
182	107.1221861
184	106.5178296
186	106.3667405
188	106.2156514
190	106.0645622
192	105.762384
194	105.3091166
196	105.1580275
198	105.1580275
200	104.8558493
202	104.7047602
204	104.7047602
206	104.553671
208	104.4025819
210	104.2514928
212	104.1004037
214	104.1004037
