"days","last14cases"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,2
"7",7,2
"8",8,3
"9",9,10
"10",10,10
"11",11,10
"12",12,10
"13",13,13
"14",14,15
"15",15,17
"16",16,57
"17",17,100
"18",18,123
"19",19,198
"20",20,222
"21",21,244
"22",22,271
"23",23,292
"24",24,305
"25",25,346
"26",26,359
"27",27,380
"28",28,453
"29",29,505
"30",30,502
"31",31,523
"32",32,540
"33",33,497
"34",34,503
"35",35,538
"36",36,588
"37",37,653
"38",38,714
"39",39,736
"40",40,734
"41",41,752
"42",42,713
"43",43,681
"44",44,695
"45",45,677
"46",46,642
"47",47,627
"48",48,641
"49",49,611
"50",50,567
"51",51,499
"52",52,478
"53",53,431
"54",54,427
"55",55,402
"56",56,373
"57",57,383
"58",58,347
"59",59,330
"60",60,334
"61",61,321
"62",62,286
"63",63,268
"64",64,257
"65",65,237
"66",66,189
"67",67,174
"68",68,170
"69",69,161
"70",70,156
"71",71,130
"72",72,120
"73",73,99
"74",74,96
"75",75,94
"76",76,89
"77",77,85
"78",78,69
"79",79,72
"80",80,71
"81",81,74
"82",82,80
"83",83,79
"84",84,80
"85",85,79
"86",86,81
"87",87,87
"88",88,83
"89",89,82
"90",90,87
"91",91,88
"92",92,92
"93",93,92
"94",94,94
"95",95,94
"96",96,86
"97",97,79
"98",98,86
"99",99,90
"100",100,103
"101",101,110
"102",102,115
"103",103,115
"104",104,112
"105",105,117
"106",106,113
"107",107,111
"108",108,109
"109",109,105
"110",110,104
"111",111,104
"112",112,96
"113",113,87
"114",114,70
"115",115,51
"116",116,44
"117",117,43
"118",118,37
"119",119,27
"120",120,21
"121",121,17
"122",122,13
"123",123,14
"124",124,14
"125",125,16
"126",126,14
"127",127,14
"128",128,12
"129",129,12
"130",130,12
"131",131,13
"132",132,13
"133",133,20
"134",134,27
"135",135,27
"136",136,28
"137",137,27
"138",138,27
"139",139,26
"140",140,27
"141",141,26
"142",142,29
"143",143,28
"144",144,28
"145",145,27
"146",146,27
"147",147,22
"148",148,16
"149",149,15
"150",150,17
"151",151,18
"152",152,18
"153",153,21
"154",154,24
"155",155,33
"156",156,42
"157",157,49
"158",158,56
"159",159,57
"160",160,67
"161",161,86
"162",162,95
"163",163,103
"164",164,114
"165",165,117
"166",166,123
"167",167,128
"168",168,131
"169",169,122
"170",170,112
"171",171,111
"172",172,110
"173",173,111
"174",174,108
"175",175,93
"176",176,102
"177",177,110
"178",178,117
"179",179,120
"180",180,117
"181",181,127
"182",182,137
"183",183,151
"184",184,166
"185",185,179
"186",186,183
"187",187,183
"188",188,195
"189",189,208
"190",190,214
"191",191,213
"192",192,227
"193",193,245
"194",194,258
"195",195,271
"196",196,276
"197",197,277
"198",198,291
"199",199,294
"200",200,305
"201",201,325
"202",202,329
"203",203,343
"204",204,338
"205",205,358
"206",206,384
"207",207,408
"208",208,409
"209",209,412
"210",210,447
"211",211,476
"212",212,485
"213",213,509
"214",214,523
"215",215,568
"216",216,592
"217",217,614
"218",218,673
"219",219,694
"220",220,702
"221",221,682
"222",222,675
"223",223,682
"224",224,650
"225",225,682
"226",226,690
"227",227,680
"228",228,664
"229",229,615
"230",230,591
"231",231,575
"232",232,528
"233",233,508
"234",234,475
"235",235,472
"236",236,469
"237",237,469
"238",238,489
"239",239,488
"240",240,492
"241",241,507
"242",242,546
"243",243,545
"244",244,558
"245",245,644
"246",246,690
"247",247,748
"248",248,845
"249",249,900
"250",250,955
"251",251,993
"252",252,1156
"253",253,1212
"254",254,1400
"255",255,1576
"256",256,1711
"257",257,1819
"258",258,1910
"259",259,1916
"260",260,2212
"261",261,2375
"262",262,2506
"263",263,2649
"264",264,2798
"265",265,2904
"266",266,2967
"267",267,3247
"268",268,3365
"269",269,3438
"270",270,3594
"271",271,3701
"272",272,3777
"273",273,4027
"274",274,4065
"275",275,4173
"276",276,4284
"277",277,4415
"278",278,4460
"279",279,4463
"280",280,4716
"281",281,4755
"282",282,4866
"283",283,5125
"284",284,5256
"285",285,5271
"286",286,5353
"287",287,5516
"288",288,5647
"289",289,5640
"290",290,6024
"291",291,6010
"292",292,6084
"293",293,6192
"294",294,6257
"295",295,6540
"296",296,6726
"297",297,6730
"298",298,6830
"299",299,6867
"300",300,7145
"301",301,7264
"302",302,7416
"303",303,7631
"304",304,7317
"305",305,7340
"306",306,7427
"307",307,7606
"308",308,7982
"309",309,7981
"310",310,7742
"311",311,7557
"312",312,7319
"313",313,7426
"314",314,7292
"315",315,7348
"316",316,7737
"317",317,7948
"318",318,8056
"319",319,8116
"320",320,7988
"321",321,7848
"322",322,7737
"323",323,7636
"324",324,7672
"325",325,7910
"326",326,7955
"327",327,7829
"328",328,7997
"329",329,7890
"330",330,7473
"331",331,7184
"332",332,7113
"333",333,7220
"334",334,7189
