old budget,budget,id,original_title,popularity,release_date,old revenue,revenue,runtime,vote_average,vote_count
237000000,237,19995,Avatar,150.437577,12/10/09,2787965087,2788,162,7.2,11800
300000000,300,285,Pirates of the Caribbean: At World's End,139.082615,5/19/07,961000000,961,169,6.9,4500
245000000,245,206647,Spectre,107.376788,10/26/15,880674609,881,148,6.3,4466
250000000,250,49026,The Dark Knight Rises,112.31295,7/16/12,1084939099,1085,165,7.6,9106
260000000,260,49529,John Carter,43.926995,3/7/12,284139100,284,132,6.1,2124
258000000,258,559,Spider-Man 3,115.699814,5/1/07,890871626,891,139,5.9,3576
260000000,260,38757,Tangled,48.681969,11/24/10,591794936,592,100,7.4,3330
280000000,280,99861,Avengers: Age of Ultron,134.279229,4/22/15,1405403694,1405,141,7.3,6767
250000000,250,767,Harry Potter and the Half-Blood Prince,98.885637,7/7/09,933959197,934,153,7.4,5293
250000000,250,209112,Batman v Superman: Dawn of Justice,155.790452,3/23/16,873260194,873,151,5.7,7004
270000000,270,1452,Superman Returns,57.925623,6/28/06,391081192,391,154,5.4,1400
200000000,200,10764,Quantum of Solace,107.928811,10/30/08,586090727,586,106,6.1,2965
200000000,200,58,Pirates of the Caribbean: Dead Man's Chest,145.847379,6/20/06,1065659812,1066,151,7,5246
255000000,255,57201,The Lone Ranger,49.046956,7/3/13,89289910,89,149,5.9,2311
225000000,225,49521,Man of Steel,99.398009,6/12/13,662845518,663,143,6.5,6359
225000000,225,2454,The Chronicles of Narnia: Prince Caspian,53.978602,5/15/08,419651413,420,150,6.3,1630
220000000,220,24428,The Avengers,144.448633,4/25/12,1519557910,1520,143,7.4,11776
380000000,380,1865,Pirates of the Caribbean: On Stranger Tides,135.413856,5/14/11,1045713802,1046,136,6.4,4948
225000000,225,41154,Men in Black 3,52.035179,5/23/12,624026776,624,106,6.2,4160
250000000,250,122917,The Hobbit: The Battle of the Five Armies,120.965743,12/10/14,956019788,956,144,7.1,4760
215000000,215,1930,The Amazing Spider-Man,89.866276,6/27/12,752215857,752,136,6.5,6586
200000000,200,20662,Robin Hood,37.668301,5/12/10,310669540,311,140,6.2,1398
250000000,250,57158,The Hobbit: The Desolation of Smaug,94.370564,12/11/13,958400000,958,161,7.6,4524
180000000,180,2268,The Golden Compass,42.990906,12/4/07,372234864,372,113,5.8,1303
207000000,207,254,King Kong,61.22601,12/14/05,550000000,550,187,6.6,2337
200000000,200,597,Titanic,100.025899,11/18/97,1845034188,1845,194,7.5,7562
250000000,250,271110,Captain America: Civil War,198.372395,4/27/16,1153304495,1153,147,7.1,7241
209000000,209,44833,Battleship,64.928382,4/11/12,303025485,303,131,5.5,2114
150000000,150,135397,Jurassic World,418.708552,6/9/15,1513528810,1514,124,6.5,8662
200000000,200,37724,Skyfall,93.004993,10/25/12,1108561013,1109,143,6.9,7604
200000000,200,558,Spider-Man 2,35.149586,6/25/04,783766341,784,127,6.7,4321
200000000,200,68721,Iron Man 3,77.68208,4/18/13,1215439994,1215,130,6.8,8806
200000000,200,12155,Alice in Wonderland,78.530105,3/3/10,1025491110,1025,108,6.4,4645
210000000,210,36668,X-Men: The Last Stand,3.857526,5/24/06,459359555,459,104,6.3,3525
200000000,200,62211,Monsters University,89.186492,6/20/13,743559607,744,104,7,3528
150000000,150,8373,Transformers: Revenge of the Fallen,21.939663,6/19/09,836297228,836,150,6,3138
210000000,210,91314,Transformers: Age of Extinction,116.840296,6/25/14,1091405097,1091,165,5.8,3095
200000000,200,68728,Oz: The Great and Powerful,46.985445,3/7/13,491868548,492,130,5.7,3530
200000000,200,102382,The Amazing Spider-Man 2,89.270217,4/16/14,705717432,706,142,6.5,4179
170000000,170,20526,TRON: Legacy,73.79505,12/10/10,400062763,400,125,6.3,2841
200000000,200,49013,Cars 2,49.98659,6/11/11,559852396,560,106,5.8,2033
200000000,200,44912,Green Lantern,51.872839,6/16/11,219851172,220,114,5.1,2487
200000000,200,10193,Toy Story 3,59.995418,6/16/10,1066969703,1067,103,7.6,4597
200000000,200,534,Terminator Salvation,71.862892,5/20/09,371353001,371,115,5.9,2463
190000000,190,168259,Furious 7,102.322217,4/1/15,1506249360,1506,137,7.3,4176
200000000,200,72190,World War Z,81.834855,6/20/13,531865000,532,116,6.7,5560
250000000,250,127585,X-Men: Days of Future Past,118.078691,5/15/14,747862775,748,131,7.5,6032
190000000,190,54138,Star Trek Into Darkness,78.291018,5/5/13,467365246,467,132,7.4,4418
195000000,195,81005,Jack the Giant Slayer,43.349855,2/27/13,197687603,198,114,5.5,2598
105000000,105,64682,The Great Gatsby,61.196071,5/10/13,351040419,351,143,7.3,3769
150000000,150,9543,Prince of Persia: The Sands of Time,62.169881,5/19/10,335154643,335,116,6.2,2317
180000000,180,68726,Pacific Rim,56.523205,7/11/13,407602906,408,131,6.7,4794
195000000,195,38356,Transformers: Dark of the Moon,28.529607,6/28/11,1123746996,1124,154,6.1,3299
185000000,185,217,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,5/21/08,786636033,787,122,5.7,2495
175000000,175,105864,The Good Dinosaur,51.692953,11/14/15,331926147,332,93,6.6,1736
185000000,185,62177,Brave,125.114374,6/21/12,538983207,539,93,6.7,4641
185000000,185,188927,Star Trek Beyond,65.352913,7/7/16,343471816,343,122,6.6,2568
180000000,180,10681,WALL_òE,66.390712,6/22/08,521311860,521,98,7.8,6296
140000000,140,5174,Rush Hour 3,22.57178,8/8/07,258022233,258,91,6.1,783
200000000,200,14161,2012,45.274225,10/10/09,769653595,770,158,5.6,4903
200000000,200,17979,A Christmas Carol,39.744242,11/4/09,325233863,325,96,6.6,1095
176000003,176.000003,76757,Jupiter Ascending,85.36908,2/4/15,183987723,184,124,5.2,2768
180000000,180,258489,The Legend of Tarzan,42.741719,6/29/16,356743061,357,109,5.5,2430
180000000,180,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,12/7/05,748806957,749,143,6.7,2629
178000000,178,246655,X-Men: Apocalypse,139.272042,5/18/16,543934787,544,144,6.4,4721
185000000,185,155,The Dark Knight,187.322927,7/16/08,1004558444,1005,152,8.2,12002
175000000,175,14160,Up,92.201962,5/13/09,735099082,735,96,7.7,6870
175000000,175,15512,Monsters vs Aliens,36.167578,3/19/09,381509870,382,94,6,1423
140000000,140,1726,Iron Man,120.725053,4/30/08,585174222,585,126,7.4,8776
170000000,170,44826,Hugo,32.319043,11/22/11,185770160,186,126,7,2141
170000000,170,8487,Wild Wild West,40.748915,6/29/99,222104681,222,106,5.1,1020
145000000,145,1735,The Mummy: Tomb of the Dragon Emperor,60.034162,7/1/08,401128639,401,112,5.2,1387
175000000,175,297761,Suicide Squad,90.23792,8/2/16,745000000,745,123,5.9,7458
175000000,175,2698,Evan Almighty,27.082182,6/9/07,173000000,173,96,5.3,1151
178000000,178,137113,Edge of Tomorrow,79.456485,5/27/14,370541256,371,113,7.6,4858
175000000,175,9804,Waterworld,44.640292,7/28/95,264218220,264,135,5.9,992
175000000,175,14869,G.I. Joe: The Rise of Cobra,32.852443,8/4/09,302469017,302,118,5.6,1962
175000000,175,150540,Inside Out,128.655964,6/9/15,857611174,858,94,8,6560
175000000,175,278927,The Jungle Book,94.199316,4/7/16,966550600,967,106,6.7,2892
200000000,200,10138,Iron Man 2,77.300194,4/28/10,623933331,624,124,6.6,6849
170000000,170,58595,Snow White and the Huntsman,77.178973,5/30/12,396600000,397,127,5.8,3118
180000000,180,102651,Maleficent,110.620647,5/28/14,758539785,759,97,7,4496
170000000,170,119450,Dawn of the Planet of the Apes,243.791743,6/26/14,710644566,711,130,7.3,4410
175000000,175,64686,47 Ronin,41.796339,12/6/13,150962475,151,119,5.9,1326
170000000,170,100402,Captain America: The Winter Soldier,72.225265,3/20/14,714766572,715,136,7.6,5764
165000000,165,10192,Shrek Forever After,44.041186,5/16/10,752600867,753,93,6,1959
190000000,190,158852,Tomorrowland,130.311355,5/19/15,209154322,209,130,6.2,2846
165000000,165,177572,Big Hero 6,203.73459,10/24/14,652105443,652,102,7.8,6135
165000000,165,82690,Wreck-It Ralph,62.341073,11/1/12,471222889,471,108,7.1,4570
165000000,165,5255,The Polar Express,47.323228,11/10/04,305875730,306,100,6.4,1474
165000000,165,47933,Independence Day: Resurgence,48.775723,6/22/16,389681935,390,120,4.9,2491
165000000,165,10191,How to Train Your Dragon,67.263269,3/5/10,494878759,495,98,7.5,4227
200000000,200,296,Terminator 3: Rise of the Machines,69.405188,7/2/03,435000000,435,109,5.9,2143
170000000,170,118340,Guardians of the Galaxy,481.098624,7/30/14,773328629,773,121,7.9,9742
165000000,165,157336,Interstellar,724.247784,11/5/14,675120017,675,169,8.1,10867
160000000,160,27205,Inception,167.58371,7/14/10,825532764,826,148,8.1,13752
15000000,15,315011,__ò_____É__∏__Å__ˆ,9.476999,7/29/16,77000000,77,120,6.5,143
