AAPL	S&P
-0.008537838	-0.005740942
0.001176248	-0.000782272
-0.003532741	0.001702023
-0.015397146	-0.014306008
-0.000342259	0.001480701
-0.022915145	-0.001845688
-0.014230613	-0.02548489
-0.023428964	-0.021189833
0.046379509	0.026795026
-0.025975559	-0.017427312
-0.011110504	-0.002920874
0.007778543	0.013675733
-0.00657779	-0.022590593
0.010206849	0.012535935
0.018941666	0.011500106
0.00691035	0.006839366
-0.025911453	-0.022164023
0.009869145	0.003331017
0.018643267	0.016588521
-0.004686521	-0.005540619
0.009810404	0.00821688
0.003382341	-0.002890822
0.006218771	0.008076322
0.013670053	0.010605144
-0.002246649	0.00083102
-0.028749357	-0.005742578
-0.041835	-0.00857318
-0.002900841	5.61753E-05
-0.014016904	-0.013470896
0.00434783	0.001835433
0.003477232	0.010380129
-0.011637313	0.001113016
0.017950209	-0.008221244
0.022970275	0.002545802
0.043227228	-0.007231903
0.001810491	-0.00225624
0.038483287	0.012729832
0.007208949	0.003451995
0.004795424	-0.000265691
0.007016292	0.009635604
0.014202553	0.009327001
-0.003810514	0.001706175
-0.002335833	0.000883132
-0.009130003	-0.00686568
0.009289506	0.004052336
-0.00634384	-0.00085621
-0.003643145	-0.002635698
0.007060061	0.00735959
-0.002508056	-0.003140664
0.006391136	0.003243109
-0.001115659	-0.002025252
0.002282944	-0.002360028
-0.003612702	-0.011631584
-0.002131046	0.012615912
-0.003365605	-0.006903337
0.017873586	0.010790764
0.008322904	0.004469595
0.007685508	0.000702371
0.003459974	0.008530883
-0.002684391	-0.000714451
-0.009138879	0.003121061
-0.002454742	0.001068148
0.005475564	0.001741832
-0.00825115	-0.004034177
0.000524313	0.002468462
-0.010325702	-0.001017592
-0.000529844	-0.002128423
-0.016291637	-0.00403155
0.004352719	0.001710697
-0.005591872	-0.006365708
-0.002916154	0.001860249
-0.014982908	-0.013819791
0.012329559	0.002202154
-0.001465068	-0.008641521
0.007250135	0.006159615
-0.002104675	0.000758094
0.0111206	0.003063318
-0.017570013	-0.004959633
0.008014634	0.008583807
0.013766811	0.008445532
0.013789631	0.008784344
-0.001207447	0.00346719
-0.013061041	-0.007119462
0.016627023	0.008710985
0.001569294	0.001078649
-0.00219761	-0.001028619
0.002824613	0.003965783
-0.005499693	0.002158158
0.007743093	-0.003960782
-0.002295736	-0.000948929
0.000887419	0.001836397
0.007228207	0.004769547
0.009385843	0.009060376
-0.003136054	-0.003036858
-0.016771182	-0.00658388
-0.005618538	-0.0057708
0.001998968	0.004872858
0.057240157	-0.001040917
0.028811761	0.004914398
0.002888873	0.004633387
0.00517931	0.003532051
-0.009419265	0.002820185
0.000675879	-0.000262414
0.00783402	-0.001442759
-0.002983055	-0.007139295
0.00643624	-0.004014003
0.004204376	0.00636892
0.002333343	-0.007631264
0.014543604	0.007888277
0.019773273	0.003317627
-0.009791452	0.002425017
-0.001951298	0.002066431
4.65826E-05	-0.000398269
0.002043956	-0.001692663
0.003104512	0.006179719
0.008200873	0.007641124
0.008043129	0.000269232
0.014819064	0.005685236
0.009151689	-0.004440118
0.011487782	0.000134421
0.00320186	-0.001655675
-0.006546169	-0.002807107
-0.016757111	-0.003658974
-0.008100816	-0.002215757
-0.013511704	0.001896045
0.024968644	0.003732862
-0.012496793	0.000356598
0.023868058	0.005268349
-0.011415942	0.000275427
-0.026986981	-0.005585315
0.001650767	0.00535465
0.000595607	0.001252525
0.007572933	0.007809997
-0.010829618	-0.000368574
0.014277712	-0.003521949
0.006320891	-0.001305928
-0.007997929	-0.00329467
0.020343135	0.002759466
0.003505851	-6.86344E-06
0.006710785	0.003634456
0.008849259	-0.000396715
0.012095022	0.00071124
-0.017737144	-0.008203069
-0.016361929	-0.005543301
-0.002321013	-0.000395147
0.013758318	-0.001418964
-0.047433408	-0.033416334
-0.008867158	-0.020787647
0.035096137	0.014106321
-0.021617803	-0.005922539
0.021797894	0.02126787
-0.004330876	-0.000252708
-0.023651006	-0.014496515
0.015115205	-0.000361235
0.00609165	-0.004308744
0.009382373	-0.005527097
-0.0349037	-0.031350832
0.021661496	0.018453729
-0.016051742	-0.017479091
-0.018948466	-0.00658123
0.00498176	0.015545367
0.025732769	0.010792839
0.015235619	0.010502453
-0.068632866	-0.0063367
-0.028799288	0.005584694
0.010756081	0.006239827
0.029877554	0.020987099
-0.003495171	-0.002512135
-0.019469848	-0.009241562
-0.051687295	-0.019898137
-0.010041391	-0.001483004
-0.028654109	-0.007596243
0.024379293	0.01053808
0.011014698	0.002220813
-0.040438758	-0.016783147
-0.048957147	-0.018317962
-0.001130589	0.003038654
-0.025726836	-0.006576468
0.013432987	0.015413016
-0.00217855	0.003256395
0.037731866	0.022714008
-0.007711642	-0.002200109
-0.005417054	0.008152204
0.034345579	0.010881931
-0.044985533	-0.032900209
-0.011212032	-0.001523348
-0.036308337	-0.023596383
0.006566273	0.001760644
-0.005735773	-0.000356432
0.00278338	0.005404856
0.010880802	-0.000199939
-0.032520846	-0.019271179
-0.009349753	-0.020992281
0.012908836	8.64084E-05
-0.031688676	-0.015515478
-0.025558354	-0.015897793
-0.039672355	-0.020803201
-0.026214538	-0.027486566
0.068052502	0.048403239
-0.006510842	0.008526178
0.000512142	-0.001242319
0.009618893	0.008456583
0.001140345	0.00126772
-0.10492435	-0.025068276
0.041803223	0.033759378
-0.002228228	0.006985976
0.018883708	0.009648598
0.016839073	0.004089652
0.00319118	0.004508268
-0.009866391	-0.000146354
-0.015151496	-0.005271432
0.020260166	0.010664642
0.012142508	0.002219502
0.005920117	0.007562783
0.006140507	0.013096913
