Year	Crime Rate												
1965	26036												
1966	27857												
1967	28846												
1968	33209												
1969	38801												
1970	38018												
1971	41645												
1972	44785												
1973	49433												
1974	52398												
1975	61966												
1976	62207												
1977	58980												
1978	60462												
1979	62037												
1980	56457												
1981	65949												
1982	62126												
1983	60186												
1984	61152												
1985	58770												
1986	62459												
1987	53775												
1988	49216												
1989	47799												
													
